artist_name,wikipedia_summary
Yazoo,"Yazoo (known as Yaz in the United States) were an English synth-pop duo from Basildon, Essex, formed in late 1981 by former Depeche Mode member Vince Clarke (keyboards) and Alison Moyet (vocals). The pair released two albums, Upstairs at Eric's and You and Me Both.The group played a key role in shaping the emerging genre of synthpop, particularly in the mid-1980s house music scene. Yazoo split in May 1983, and later reunited for a tour in 2008."
Prince,"Prince Rogers Nelson (June 7, 1958 – April 21, 2016) was an American singer, songwriter, musician, and actor. Regarded as one of the most influential musicians of his generation, Prince was known for his flamboyant, androgynous persona, wide vocal range, which included a far-reaching falsetto and high-pitched screams, as well as his skill as a multi-instrumentalist, often preferring to play all or most of the instruments on his recordings. His music incorporated a wide variety of styles, including funk, R&B, rock, new wave, soul, synth-pop, pop, jazz, blues, and hip hop. Prince produced his albums himself, pioneering the Minneapolis sound.
Born and raised in Minneapolis, Prince signed a record deal with Warner Bros. Records at the age of 18, soon releasing the studio albums For You (1978) and (1979). He went on to achieve critical success with the influential albums (1980), (1981), and (1982). In 1984, Prince became the first singer to simultaneously have a number-one film, album and single in the US, with the film , its soundtrack and his first Hot 100 chart-topping single ""When Doves Cry"". The album, recorded with his new backing band the Revolution, spent six consecutive months atop the US 200 chart and won the Academy Award for Best Original Song Score. The movie grossed $70.3 million worldwide and it has been regarded as one of the greatest musical films. After disbanding the Revolution, Prince released the album (1987), widely hailed by critics as the greatest work of his career."
WC,"William LaShawn Calhoun Jr. (born February 3, 1970), better known by his stage name WC (pronounced ""dub-c""), is an American rapper and actor. He originally was a rapper in the group Low Profile and later formed his group WC and the Maad Circle, who first succeeded with the single ""Ain't A Damn Thang Changed"". He later started a solo career and has released four solo albums. He is also well known for being a member of the rap supergroup Westside Connection with West Coast rappers Ice Cube and Mack 10."
Statik Selektah,"Patrick Owen Baril (born January 23, 1982), professionally known as Statik Selektah, is an American record producer, disc jockey (DJ) and radio personality originally from the Boston, Massachusetts area. He is also the founder of Showoff Records. In 2010, he formed the hip hop group 1982, alongside American rapper Termanology. He has resided in New York City since 2004."
Shaquille O’Neal,"Fu-Schnickens were an American hip-hop trio from 1988 to 1995, based in Brooklyn, New York."
Fu‐Schnickens,"Shaquille Rashaun O'Neal ( shə-KEEL; born March 6, 1972), commonly known as Shaq ( SHAK), is an American former professional basketball player who is a sports analyst on the television program Inside the NBA. He is a 7-foot-1-inch (2.16 m) and 325-pound (147 kg) center who played for six teams over his 19-year career in the National Basketball Association (NBA) and is a four-time NBA champion. O'Neal is regarded as one of the greatest basketball players and centers of all time.
After playing college basketball for the LSU Tigers, O'Neal was selected by the Orlando Magic with the first overall pick in the 1992 NBA draft. He quickly became one of the best centers in the league, winning NBA Rookie of the Year in 1992–93 and leading his team to the 1995 NBA Finals. After four years with the Magic, O'Neal signed as a free agent with the Los Angeles Lakers. They won three consecutive championships in 2000, 2001, and 2002. Amid a feud between O'Neal and his teammate Kobe Bryant, O'Neal was traded to the Miami Heat in 2004, and his fourth NBA championship followed in 2006. Midway through the 2007–2008 season he was traded to the Phoenix Suns. After a season-and-a-half with the Suns, O'Neal was traded to the Cleveland Cavaliers in the 2009–10 season. O'Neal played for the Boston Celtics in the 2010–11 season before retiring."
8Ball & MJG,"Kingpin Skinny Pimp (født Derrick Dewayne Hill i Memphis, Tennessee), også kjent som Skinny pimp er en amerikansk rapper.
Skinny Pimp vokste opp i Memphis mellom 70-90-tallet, i det belastede nabolaget Dixie Homes, der han på grunn av en problematisk familiesituasjon bodde sammen med sin dypt religiøse bestefar.
Han begynte å rappe i 1985, da han kom i kontakt med hiphop-miljøet på Herman Junior High school, der han var elev. I årene etter High School ble han kjent med den lokale DJ- og produsenten DJ Squeeky, og i en periode fremover deltok han på en del undergrunns mixtaper utgitt selvstendig av DJ Squeeky, noe som bidrog til å øke oppmerksomheten rundt den unge rapperen. Hans første album, Pimps & Robbers ble gitt ut i 1993, og solgte over 10 000 enheter uten noen form for promotering."
"Grover Washington, Jr.","Grover Washington Jr. (December 12, 1943 – December 17, 1999) was an American jazz-funk and soul-jazz saxophonist and Grammy Award winner. Along with Wes Montgomery and George Benson, he is considered by many to be one of the founders and legends of the smooth jazz genre. He wrote some of his material and later became an arranger and producer.
Throughout the 1970s and 1980s, Washington made some of the genre's most memorable hits, including ""Mister Magic"", ""Reed Seed"", ""Black Frost"", ""Winelight"", ""Inner City Blues"", ""Let it Flow (For 'Dr. J')"", and ""The Best is Yet to Come"". In addition, he performed very frequently with other artists, including Bill Withers on ""Just the Two of Us"", Patti LaBelle on ""The Best Is Yet to Come"", and Phyllis Hyman on ""A Sacred Kind of Love""."
Bill Withers,"William Harrison Withers Jr. (July 4, 1938 – March 30, 2020) was an American singer and songwriter. He is known for having several hits over a career spanning 18 years, including ""Ain't No Sunshine"" (1971), ""Grandma's Hands"" (1971), ""Use Me"" (1972), ""Lean on Me"" (1972), ""Lovely Day"" (1977) and ""Just the Two of Us"" (1980) (recorded in collaboration with Grover Washington Jr.). Withers won three Grammy Awards out of nine total nominations.
His life was the subject of the 2009 documentary film Still Bill. Withers was inducted into the Songwriters Hall of Fame in 2005 and Rock and Roll Hall of Fame in 2015. Two of his songs, ""Ain't No Sunshine"" and ""Lean on Me"", were inducted into the Grammy Hall of Fame."
Da Lench Mob,"Da Lench Mob was an American hip hop group from Los Angeles, California, associated with Ice Cube. The group consisted of rappers Shorty, T-Bone, J-Dee, Del, Woody, Yo Yo, Sir Jinx, K-Dee, Kam, Maulkie, and Ice Cube. Their Islamic religious and social politically inspired-lyrics garnered much attention."
Lana Del Rey,"Elizabeth Woolridge Grant (born June 21, 1985), known professionally as Lana Del Rey, is an American singer-songwriter. Her music is noted for its melancholy exploration of glamor and romance, with frequent references to pop culture and 1950s–1970s Americana. She is the recipient of various accolades, including an MTV Video Music Award, three MTV Europe Music Awards, two Brit Awards, two Billboard Women in Music awards and a Satellite Award, in addition to nominations for eleven Grammy Awards and a Golden Globe Award. Variety honored her at their Hitmakers Awards for being ""one of the most influential singer-songwriters of the 21st century"". In 2023, Rolling Stone placed Del Rey on their list of the ""200 Greatest Singers of All Time"", while their sister publication Rolling Stone UK named her as the ""Greatest American Songwriter of the 21st century""."
Patrick Stump,"Patrick Martin Stumph (born April 27, 1984), known professionally as Patrick Vaughn Stump, is an American singer, songwriter, musician, and record producer. He is the lead vocalist and rhythm guitarist of the rock band Fall Out Boy, originally from Wilmette, Illinois.
His solo work has been described as ""funky and R&B infused"", while Billboard noted him as ""one of the best voices in pop-punk"". Fall Out Boy has achieved four top ten singles on the US Billboard Hot 100 and four number one albums on the Billboard 200, firstly with Infinity on High (2007), followed by and including Save Rock and Roll (2013), American Beauty/American Psycho (2015), and Mania (2018). With Pete Wentz, Stump founded the record label DCD2 Records in 2005, through which he has signed and worked in production for musical acts including Cobra Starship, Gym Class Heroes, and Panic! at the Disco."
Suspekt,"Suspekt is a Danish hip hop group. They are known for their dark, intense style, which has sometimes been described as horrorcore. The group consists of rappers Bai-D (Andreas Bai Duelund) and Orgi-E (Emil Simonsen), as well as producer Rune Rask. Former member Troo.L.S (Troels Nielsen) announced in 2008 that he would move to the United States to work, as a producer, with hip hop/R&B artist Akon.
In 1998, they founded the record label Tabu Records.
In 2009, the Suspekt members joined forces with rapper L.O.C., forming the group Selvmord."
Tina Dickow,"Tina Dico (born Tina Dickow Danielsen on 14 October 1977) is a Danish singer-songwriter. She founded her own record label and releases her music independently, enjoying large success with her albums in her home country as well as critical acclaim across Europe. She is inspired by artists such as Tracy Chapman, Bob Dylan and Leonard Cohen.
In Denmark she performs both under her real name, Tina Dickow, and under the adopted name Tina Dico as well."
King Geedorah,"Daniel Dumile (born Dumile Daniel Thompson; DOO-mə-lay; July 13, 1971 – October 31, 2020), also known by his stage name MF Doom or simply Doom (both sometimes stylized in all caps), was a British and American rapper, songwriter, and record producer. Noted for his intricate wordplay, signature metal mask, and ""supervillain"" stage persona, he became a major figure of underground hip hop and alternative hip hop in the 2000s.
Dumile was born in London and raised in Long Beach, New York. He began his career in 1988 as a member of the trio KMD, performing as Zev Love X. The group disbanded in 1993 after the death of DJ Subroc, Dumile's brother. After a hiatus, Dumile reemerged in the late 1990s. He began performing at open mic events while wearing a metal mask resembling that of the Marvel Comics supervillain Doctor Doom, who is depicted on the cover of his 1999 debut solo album . He adopted the MF Doom persona and rarely made unmasked public appearances thereafter."
The World Class Wreckin Cru,"World Class Wreckin' Cru was an American electro group, during the 1980s in the Los Angeles area, that contributed to rap's development. Two of its members, Dr. Dre and DJ Yella, attained greater fame as members of N.W.A, which pioneered gangsta rap. A song by the Cru had also featured R&B singer Michel'le."
Marvin Gaye,"Marvin Pentz Gaye Jr. (né Gay; April 2, 1939 – April 1, 1984) was an American singer, songwriter, musician, and record producer. He helped shape the sound of Motown in the 1960s, first as an in-house session player and later as a solo artist with a string of successes, which earned him the nicknames ""Prince of Motown"" and ""Prince of Soul"".
Gaye's Motown hits include ""How Sweet It Is (To Be Loved by You)"" (1964), ""Ain't That Peculiar"" (1965), and ""I Heard It Through the Grapevine"" (1968). He also recorded duets with Mary Wells, Kim Weston, Tammi Terrell, and Diana Ross. During the 1970s, Gaye became one of the first Motown artists to break away from the reins of a production company and recorded the landmark albums What's Going On (1971) and Let's Get It On (1973)."
Kilo Ali,"Andrell D. Rogers (born May 1, 1973), better known as Kilo Ali, formerly Kilo, is an American rapper from Atlanta, Georgia. Kilo Ali recorded mainly bass music (described more closely to Miami bass style music), but also hip-hop tracks with a less distinctive Southern flavor. His most well known singles include ""Show Me Love"", ""Baby Baby"", and ""Love In Ya Mouth"".
As Kilo Ali, he released Organized Bass in 1997 on Interscope, with featured artists including George Clinton, Cee-Lo of Goodie Mob, Big Boi of OutKast, and JT Money. In 2011, Ali was released from prison after serving six years of a 15-year sentence for arson. In June 2021, Ali sued rapper NLE Choppa for copyright infringement for unauthorized use of his 1997 song, ""Love In Ya Mouth""."
R.E.M.,"R.E.M. was an American alternative rock band formed in Athens, Georgia, in 1980 by drummer Bill Berry, guitarist Peter Buck, bassist Mike Mills, and lead vocalist Michael Stipe, who were students at the University of Georgia. One of the first alternative rock bands, R.E.M. was noted for Buck's ringing, arpeggiated guitar playing, Stipe's distinctive vocal quality, unique stage presence and cryptic lyrics, Mills's melodic bass lines and backing vocals, and Berry's tight, economical drumming. In the early 1990s, other alternative rock acts such as Nirvana, Pixies and Pavement viewed R.E.M. as a pioneer of the genre. After Berry left in 1997 due to severe health issues, the remaining members continued with mixed critical and commercial success. The band broke up amicably in 2011, having sold more than 90 million albums worldwide and becoming one of the world's best-selling music acts."
PA Sports,"PA Sports (* 1. April 1990 in Essen; bürgerlich Parham Vakili, persisch پرهام وکیلی), ist ein deutscher Rapper iranischer Abstammung und CEO des von ihm gegründeten Musiklabel Life is Pain."
Kianush,"Kianush (* 18. August 1987 in Teheran, Iran; bürgerlich Kianush Rashedi, persisch: کیانوش راشدی) ist ein deutscher Rapper mit iranischen Wurzeln aus dem westfälischen Münster. Er steht beim Independent-Label Life Is Pain von PA Sports unter Vertrag."
Milt Jackson,"Milton Jackson (January 1, 1923 – October 9, 1999), nicknamed ""Bags"", was an American jazz vibraphonist. He is especially remembered for his cool swinging solos as a member of the Modern Jazz Quartet and his penchant for collaborating with hard bop and post-bop players.
A very expressive player, Jackson differentiated himself from other vibraphonists in his attention to variations on harmonics and rhythm. He was particularly fond of the twelve-bar blues at slow tempos. On occasion, Jackson also sang and played piano."
Les McCann,"Leslie Coleman McCann (September 23, 1935 – December 29, 2023) was an American jazz pianist and vocalist. He is known for his innovations in soul jazz and his 1969 recording of the protest song ""Compared to What"". His music has been widely sampled in hip hop."
Dick Hyman,"Richard Hyman (born March 8, 1927) is an American jazz pianist and composer. Over a 70-year career, he has worked as a pianist, organist, arranger, music director, electronic musician, and composer. He was named a National Endowment for the Arts Jazz Masters fellow in 2017.
As a pianist, Hyman has been praised for his versatility. DownBeat magazine characterized him as ""a pianist of longstanding grace and bountiful talent, with an ability to adapt to nearly any historical style, from stride to bop to modernist sound-painting.""
His daughter Judy Hyman is a founding member of The Horse Flies, an American alternative rock/folk band based in Ithaca, NY. His grandson is designer and artist Adam Charlap Hyman."
Popcaan,"Andrae Hugh Sutherland (born 19 July 1988), known professionally as Popcaan, is a Jamaican deejay.
In 2008, Popcaan joined Vybz Kartel's Gaza Music Empire. In 2010, he released his breakthrough international hit ""Clarks"" with Kartel, an ode to the shoe brand. In 2013, Popcaan signed with Mixpak Records and released his debut studio album, Where We Come From. In 2016, Popcaan signed with Canadian rapper Drake's record label OVO Sound and Warner Records. His second album for Mixpak, entitled Forever, was released in 2018.
Popcaan's international singles include ""Only Man She Want"", ""Everything Nice"", ""Ova Dweet"", ""El Chapo"", and ""Family"". He has collaborated with a number of international artists, most notably Drake, Jamie xx, Pusha T, Giggs, Matoma, Wale, Gorillaz, and Davido. Popcaan made his acting debut in the film (2018)."
Pinocchio,"Pinocchio is a fictional, animated French character and singer, created by a music producer and DJ Bruno Berrebi.
He debuted in 2005 with a single titled ""T'es pas cap Pinocchio"", which reached number 2 in France, and followed with the singles ""Pinocchio en hiver (Kalinka)"", ""Petit Papa Noël"", ""DJ Pinocchio"", etc. during the years 2005–2007."
Nujabes,"Jun Seba (Japanese: 瀬葉 淳, Hepburn: Seba Jun, February 7, 1974 – February 26, 2010), born Jun Yamada (Japanese: 山田 淳), better known by his stage name Nujabes (ヌジャベス, Nujabesu), was a Japanese record producer, audio engineer, DJ, composer and arranger best known for his atmospheric instrumental mixes sampling from hip hop, soul, and jazz, as well as incorporating elements of trip hop, breakbeat, downtempo, and ambient music.
Seba released two studio albums during his lifetime: Metaphorical Music (2003) and Modal Soul (2005), while the album Spiritual State was released posthumously in 2011. He was the founder of the independent label Hydeout Productions and released two collection compilations: (2003) and (2007). Additionally, Seba collaborated on the soundtrack for Shinichirō Watanabe's anime series ( and ) in 2004."
Armand Van Helden,"Armand Van Helden (born February 16, 1970) is an American DJ, record producer, remixer and songwriter from Boston, Massachusetts. He is considered one of house music's most revered figures, with a career spanning three decades.
Van Helden's best-known singles are ""You Don't Know Me"", ""I Want Your Soul"", ""My My My"" featuring Tara McDonald, and ""Bonkers"" featuring Dizzee Rascal, all of which became #1 on the UK Dance Chart and reached as high as #2 on the Billboard Dance Chart.
In 2009, Van Helden formed the DJ duo Duck Sauce with Canadian DJ A-Trak, receiving a nomination at the 54th Grammy Awards for Best Dance Recording for their song ""Barbra Streisand"" which topped the charts in 12 countries. The duo also released the singles ""Anyway"" which reached No. 1 on the UK Dance Chart, ""Big Bad Wolf' and ""NRG""."
Spalding Rockwell,"Spalding Rockwell is a band composed of Mary Louise Platt ""ML"" and Nicole Lombardi ""Nikki"". They are known for their collaboration with Armand Van Helden entitled ""Hear My Name"" and are featured in the music video. They are also known for their critically acclaimed record entitled KATE. ""Hear My Name"" reached number 7 on the Billboard dance chart, was top 30 on world and internet charts, made number 34 in the UK Singles Chart, and reached number 32 in the Australian Singles Chart. ""Hear My Name"" was also made a into a music video featuring Mary Louise Platt and Nicole Lombardi (Spalding Rockwell) that was a MTV Europe hit. Spalding Rockwell is self-described as being ""equal parts punk, electro and pop.""[1]"
Leslie Grace,"Leslie Grace Martínez (born January 7, 1995) is an American singer, songwriter, and actress. For her work as a singer, she has received three Latin Grammy Award nominations. She starred as Nina Rosario in Jon M. Chu's film adaptation In the Heights (2021)."
Boi-1da,"Matthew Jehu Samuels (born October 12, 1986), known professionally as Boi-1da (a play on Boy Wonder) is a Canadian record producer and songwriter based in Toronto, Ontario.
He is an in-house producer for Drake's OVO Sound label and has produced for a variety of artists and groups, most notably Drake, Rihanna, Eminem, Jay-Z, Nicki Minaj, Nas, Jack Harlow, Kanye West and Kendrick Lamar among others. In 2015, Samuels served as the executive producer for Drake's mixtape If You're Reading This It's Too Late."
Charizma,"Charizma is a Swedish rock band formed in Oskarshamn. It was founded in 1981 by the three brothers Bo, Jan and Göran Nikolausson. In 1996 the band added two members, Johan Mauritzson and Thomas Karlsson. In November 2008 the band went on an indefinite hiatus.
Starting out as a hard rock trio in the early 1980s, at the end of the 1990s Charizma turned into a radio-friendly rock band focusing on melodies and strong vocal elements.
The band is primarily known for its songs ""Waiting (Here for you)"" and ""Run to God"". The song ""Join hands"" (1990) was a major hit in Estonia and became part of the Singing Revolution."
Peanut Butter Wolf,"Christopher George Manak (born October 8, 1969 ), better known by his stage name Peanut Butter Wolf, is an American disc jockey and record producer from San Jose, California. He is based in Los Angeles, where he moved to in 2000. He is the founder of Stones Throw Records."
The Dukes of Dixieland,"The Dukes of Dixieland is an American, New Orleans ""Dixieland""-style revival band, originally formed in 1948 by brothers Frank Assunto, trumpet; Fred Assunto, trombone; and their father Papa Jac Assunto, trombone and banjo. Their first records featured Jack Maheu, clarinet; Stanley Mendelsohn, piano; Tommy Rundell, drums; and Barney Mallon, tuba and string bass. The 1958 album “Marching Along with the Dukes of Dixieland, Volume 3,” lists Frank, Fred, and Jac Assunto, along with Harold Cooper (clarinet), Stanley Mendelsohn (piano), Paul Ferrara (drums), and Bill Porter (tuba and string bass). During its run the band also featured musicians such as clarinetists Pete Fountain, Jerry Fuller, Kenny Davern, drummers Barrett Deems, Charlie Lodice, Buzzy Drootin and guitarists Jim Hall, and Herb Ellis. The band also recorded with Louis Armstrong."
Arrested Development,"Arrested Development is an American hip hop group, that was formed in Atlanta in 1988. It was founded by Speech and Headliner as a positive, Afrocentric alternative to the gangsta rap popular in the late 1980s. Baba Oje and frontman Speech met at the University of Wisconsin–Milwaukee when they were both students."
Rod Wave,"Rodarius Marcell Green (born August 27, 1998), known professionally as Rod Wave, is an American rapper, singer, and songwriter. Signed to Alamo Records, Green is known for his strong voice and incorporation of hip hop and R&B, having been recognized as a pioneer of ""trap-soul."" Green rose to prominence with his 2019 single ""Heart on Ice,"" which first went viral on TikTok before peaking at number 25 on the Billboard Hot 100. The song preceded his debut studio album, Ghetto Gospel (2019), which peaked at number ten on the US Billboard 200. His second album, Pray 4 Love (2020), peaked at number two on the chart and included the song ""Rags2Riches"" (remixed featuring Lil Baby), which peaked at number 12 on the Billboard Hot 100."
Nina Sky,"Armando Christian Pérez (born January 15, 1981), better known by his stage name Pitbull (also known as Mr. 305 and Mr. Worldwide), is an American rapper, singer and actor. He began his career in the early 2000s as a reggaeton, Latin hip hop, and crunk performer, and signed with TVT Records to release his debut studio album, M.I.A.M.I. (2004). Executive produced by Lil Jon, it moderately entered the Billboard 200 along with his second and third albums, El Mariel (2006) and The Boatlift (2007). His fourth album, Pitbull Starring in Rebelution (2009), yielded his mainstream breakthrough, spawning the singles ""I Know You Want Me (Calle Ocho)"" and ""Hotel Room Service""—which peaked at numbers two and eight on the U.S. Billboard Hot 100, respectively."
Gloria Estefan,"Gloria María Milagrosa Estefan (née Fajardo García; born September 1, 1957) (Spanish pronunciation: [ˈɡloɾja esˈtefan]) is an American singer, actress, and businesswoman. Estefan is an eight-time Grammy Award winner, a Presidential Medal of Freedom recipient, and has been named one of the Top 100 greatest artists of all time by both VH1 and Billboard. Estefan's record sales exceed 100 million worldwide, making her one of the best-selling female singers of all time.
A contralto, Estefan started her career as lead singer of Miami Latin Boys, which was later renamed Miami Sound Machine. She and Miami Sound Machine earned worldwide success with their 1985 single ""Conga"", which became Estefan's signature song. The group followed this with a number of hit singles throughout the decade, including ""Anything for You"", ""1-2-3"", ""Bad Boy"", and ""Rhythm Is Gonna Get You"". The group was redubbed as Gloria Estefan and Miami Sound Machine with the release of their 1987 album , and in 1989, Estefan rose to solo stardom with her debut solo album ."
Odetta,"Odetta Holmes (December 31, 1930 – December 2, 2008), known as Odetta, was an American singer, often referred to as ""The Voice of the Civil Rights Movement"". Her musical repertoire consisted largely of American folk music, blues, jazz, and spirituals. An important figure in the American folk music revival of the 1950s and 1960s, she influenced many of the key figures of the folk-revival of that time, including Bob Dylan, Joan Baez, Mavis Staples, and Janis Joplin. In 2011 Time magazine included her recording of ""Take This Hammer"" on its list of the 100 Greatest Popular Songs, stating that ""Rosa Parks was her No. 1 fan, and Martin Luther King Jr. called her the queen of American folk music."""
Tuff Crew,"Tuff Crew is a hip hop group from Philadelphia, Pennsylvania,. Members include Ice Dog, L. A. Kid, Tone Love, Monty G, and DJ Too Tuff."
Anarchy,"アナーキー（ANARCHY）は、日本のパンクバンドである。漢字では「亜無亜危異」（または「亞無亞危異」）と表記する。
バンド名の由来は、セックス・ピストルズの著名な楽曲「アナーキー・イン・ザ・UK」から命名された。当時、イギリスやNYで燃えたぎっていたパンク・ムーブメントの影響を受け、社会や流行、エセ青春などを激しく攻撃し、人気を博した。"
Whodini,"Whodini is an American hip hop group that was formed in 1982. The Brooklyn, New York–based trio consisted of vocalist and main lyricist Jalil Hutchins; co-vocalist John Fletcher, a.k.a. Ecstasy (who wore a Zorro-style hat as his trademark; June 7, 1964 – December 23, 2020); and turntable artist DJ Drew Carter, a.k.a. Grandmaster Dee.
Coming out of the fertile New York rap scene of the early 1980s, Whodini was one of the first rap groups to add an R&B twist to their music, thus laying the foundation for a new genre: new jack swing. The group made its name with good-humored songs such as ""Magic's Wand"" (the first rap song accompanied by a music video), ""The Haunted House of Rock"", ""Friends"", ""Five Minutes of Funk"", and ""Freaks Come Out at Night"". Live performances of the group were the first rap concerts with the participation of breakdance dancers from the group UTFO. Russell Simmons was the manager of the group in the 1980s."
Angie Martinez,"Angela ""Angie"" Martinez (born January 9, 1971) is an American radio personality, podcaster, singer, former rapper and actress. Dubbed ""The Voice of New York"", Martinez is widely known for her 28-year run at New York City station Hot 97 (WQHT). She left the station in 2014 to join crosstown competitor Power 105.1 (WWPR).
As a rapper, Martinez received praise for her bars when she was featured on the remix for Lil' Kim's ""Not Tonight"" (1996). She later released two albums, Up Close and Personal (2001) and Animal House (2002), before retiring in 2003 to pursue her radio and entrepreneurial careers. As of 2024, she also hosts her own podcast through her YouTube channel, IRL (short for In Real Life) in which she interviews various entertainment industry figures, of all ages."
Quo (2),"Status Quo are a British rock band. The group originated in London and was founded in 1962 by Francis Rossi and Alan Lancaster while they were still schoolboys. After a number of name and lineup changes, which included the introduction of John Coghlan in 1963 and Rick Parfitt in 1967, the band became The Status Quo in 1967 and Status Quo in 1969. As of 2022, the group have been active for 60 consecutive years (despite announcing a breakup in 1984, they played Live Aid the following year and resumed normal activities in 1986).
They have had over 60 chart hits in the UK – more than any other band – including ""Pictures of Matchstick Men"" (their first charting song), ""Caroline"" (their first top 5 hit), and ""Down Down"" (their only No. 1 hit). Twenty-two of these reached the Top 10 in the UK Singles Chart, and fifty-seven reached the Top 40. They have released over 100 singles and 33 studio albums, most of which were bestsellers. Since reaching number 5 on the UK albums chart in 1972 with , Status Quo have placed 29 consecutive studio albums on the UK charts, including 20 in the top ten studio albums, extending all the way up to their most recent release, , in 2019. In 2012, they were announced as the tenth best-selling group of all time on the UK Singles Chart with 7.2 million singles sales in their homeland alone. As of 2015, they were one of only 50 artists to have achieved more than 500 total weeks on the UK Albums Chart."
Eazy-E,"Eric Lynn Wright (September 7, 1964 – March 26, 1995), known professionally by his stage name Eazy-E, was an American rapper who propelled West Coast rap and gangsta rap by leading the group N.W.A and its label, Ruthless Records. He is often referred to as the ""Godfather of Gangsta Rap"".
Born and raised in Compton, California, Wright had several legal troubles before founding Ruthless in 1987. After a short solo career with frequent collaboration with Ice Cube and Dr. Dre, they joined, forming N.W.A, later that year. N.W.A's debut studio album, Straight Outta Compton, was released in 1989. Controversial upon release, it is now ranked among the greatest and most influential albums ever. The group released its second and final studio album, , in 1991, and soon after disbanded."
Slash,"Saul Hudson (born July 23, 1965), known professionally as Slash, is a British and American musician, best known as the lead guitarist of the hard rock band Guns N' Roses, with whom he achieved worldwide success in the late 1980s and mid-1990s. Slash has received critical acclaim and is considered one of the greatest guitarists in history.
Born in Hampstead, London, Slash moved to Los Angeles with his father when he was six years old. His parents were both active in the entertainment industry, and he was given the nickname Slash as a child by actor Seymour Cassel. In 1983 he joined the glam metal band Hollywood Rose, then in 1985 he joined Guns N' Roses (which was composed of former members of Hollywood Rose and L.A. Guns), replacing founding member Tracii Guns."
Sublime,"Sublime is an American ska punk band from Long Beach, California, that plays a mix of ska, punk, and reggae. Formed in 1988, the band's original lineup consisted of Bradley Nowell (vocals and guitar), Eric Wilson (bass), and Bud Gaugh (drums). Lou Dog, Nowell's dalmatian, was the mascot of the band. Nowell died of a heroin overdose in 1996, resulting in the band's breakup. In 1997, songs such as ""What I Got"", ""Santeria"", ""Wrong Way"", ""Doin' Time"", and ""April 29, 1992 (Miami)"" were released to U.S. radio.
Sublime released three studio albums, one live album, five compilation albums, three EPs, and one box set. Although their first two albums—40oz. to Freedom (1992) and Robbin' the Hood (1994)—were slightly popular in the United States, Sublime did not experience major commercial success until 1996 with their self-titled third album, released two months after Nowell's death. Peaking at No. 13 on the 200, it spawned the hit single ""What I Got"", which reached number one on the Modern Rock Tracks chart. As of 2009, the band has sold over 17 million albums worldwide, including about ten million in the U.S. alone. Michael ""Miguel"" Happoldt and Marshall ""Ras MG"" Goodman contributed to several Sublime songs."
Danger Mouse,"Brian Joseph Burton (born July 29, 1977), known professionally as Danger Mouse, is an American musician and record producer. He came to prominence in 2004 when he released The Grey Album, which combined vocal performances from Jay-Z's The Black Album with instrumentals from the Beatles' The Beatles, also known as The White Album. In 2008, Esquire named him one of the ""75 most influential people of the 21st century"".
Danger Mouse formed Gnarls Barkley with CeeLo Green in 2006 and produced its albums St. Elsewhere and The Odd Couple. In 2009, he collaborated with James Mercer of the indie rock band The Shins to form the band Broken Bells; the band released three albums since then, with Into the Blue (2022) being the most recent one. Burton collaborated with rapper MF Doom as Danger Doom on The Mouse and the Mask and with emcee Black Thought on ."
Seagram,"Seagram Miller (April 13, 1970 – July 31, 1996) was an American rapper from Oakland, California, United States.
Seagram released two albums, The Dark Roads (1992) and Reality Check (1994). He was killed in a drive-by shooting on July 31, 1996, which remains unsolved. He is interred in Oakland. A posthumous album, Souls on Ice, was released in 1997."
Tina Turner,"Tina Turner (born Anna Mae Bullock; November 26, 1939 – May 24, 2023) was a singer, songwriter, and actress. Dubbed the ""Queen of Rock 'n' Roll"", As a rock icon, she was known for her vocal prowess, raspy voice and electrifying stage presence. Turner rose to prominence as the lead singer of the husband-wife duo Ike & Tina Turner. Their tumultuous marriage led to a divorce and disbanding in 1976, and she embarked on a successful solo career, becoming one of the best-selling recording artists of all time, with estimated sales of 100 to 150 million records worldwide.
In 1984, Tina launched ""one of the greatest comebacks in music history"", with her multi-platinum album Private Dancer. Its single ""What's Love Got to Do with It"" won the Grammy Award for Record of the Year and became her only number-one song on the Billboard Hot 100. Turner's chart worldwide success continued with ""Let's Stay Together"", ""Better Be Good to Me"", ""Private Dancer"", ""We Don't Need Another Hero (Thunderdome)"", ""It's Only Love"", ""Typical Male"", ""The Best"", ""I Don't Wanna Lose You"", ""I Don't Wanna Fight"", and ""GoldenEye"". Her Break Every Rule World Tour (1987–1988) became the highest-grossing female tour of the 1980s and set a Guinness World Record for the then-largest paying audience in a concert (180,000)."
Pauline,"Pauline Julien, (May 23, 1928 – October 1, 1998), nicknamed ""La Renarde"", was a singer, songwriter, actress, feminist activist and Quebec sovereigntist.
Born in Trois-Rivières, Quebec, Julien was the companion of the poet and Québec provincial MLA Gérald Godin, another Trifluvian and sovereignist. Julien performed pro-independence songs in Montréal clubs as early as 1964. In 1965 she hosted the CBC television series Mon pays, mes chansons. At the CBC she also collaborated and recorded with pianist Herbert Ruff, and performed on the program On Stage."
